# KNF - Komisja Nadzoru Finansowego, Rejestr Krótkiej Sprzeda¿y (wygenerowano 2021-01-30 13:56:13)
# Historyczne dane (67 rekord(ów)) dla nastêpuj¹cych kryteriów:
# Filtrowanie po: 'Nazwa papieru' zawiera 'cdprojekt' 
# Sortowanie po: 'Data obliczenia pozycji', Z - A
Posiadacz pozycji krótkiej;Nazwa papieru;ISIN;Pozycja krótka netto (%);Data obliczenia pozycji
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;< 0,5;2021-01-28
LIGHT STREET CAPITAL MANAGEMENT, LLC;CDPROJEKT;PLOPTTC00011;0,79;2021-01-28
Egerton Capital (UK) LLP;CDPROJEKT;PLOPTTC00011;< 0,5;2021-01-27
Eminence Capital, LP;CDPROJEKT;PLOPTTC00011;< 0,5;2021-01-27
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;< 0,5;2021-01-27
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;0,99;2021-01-26
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;1,05;2021-01-25
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,58;2021-01-22
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,61;2021-01-15
Eminence Capital, LP;CDPROJEKT;PLOPTTC00011;0,82;2021-01-14
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,56;2021-01-08
Egerton Capital (UK) LLP;CDPROJEKT;PLOPTTC00011;0,53;2021-01-08
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,60;2021-01-07
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,73;2021-01-05
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;1,12;2020-12-30
LIGHT STREET CAPITAL MANAGEMENT, LLC;CDPROJEKT;PLOPTTC00011;0,80;2020-12-23
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;1,01;2020-12-22
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,82;2020-12-22
Eminence Capital, LP;CDPROJEKT;PLOPTTC00011;0,74;2020-12-21
LIGHT STREET CAPITAL MANAGEMENT, LLC;CDPROJEKT;PLOPTTC00011;0,73;2020-12-21
LIGHT STREET CAPITAL MANAGEMENT, LLC;CDPROJEKT;PLOPTTC00011;0,61;2020-12-18
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;0,87;2020-12-18
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,72;2020-12-18
Eminence Capital, LP;CDPROJEKT;PLOPTTC00011;0,69;2020-12-17
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;0,64;2020-12-15
Eminence Capital, LP;CDPROJEKT;PLOPTTC00011;0,74;2020-12-14
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;0,58;2020-12-14
Marshall Wace LLP;CDPROJEKT;PLOPTTC00011;0,51;2020-12-11
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;< 0,5;2020-12-11
Melvin Capital Management LP;CDPROJEKT;PLOPTTC00011;0,64;2020-12-10
